,clf,metric,value,section_split,model,train_type,section_pooling,optimized_section,patient_pooling
10,logistic,macro precision,0.4517085417361722,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,pca
11,logistic,macro recall,0.3576250849627213,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,cls,False,pca
0,RF,micro precision,0.6644204851752021,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,mean
1,RF,micro recall,0.4637817497648165,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,mean
2,RF,macro precision,0.4006909373751428,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,mean
3,RF,macro recall,0.2426580174466171,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,mean
4,MLP,micro precision,0.6156941649899397,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,mean
5,MLP,micro recall,0.5757290686735654,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,mean
6,MLP,macro precision,0.4622464461477693,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,mean
7,MLP,macro recall,0.4124809892480415,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,mean
8,logistic,micro precision,0.6945137157107232,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,mean
9,logistic,micro recall,0.5239887111947319,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,mean
10,logistic,macro precision,0.4380495354717604,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,mean
11,logistic,macro recall,0.2829715325197873,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,mean
0,RF,micro precision,0.6450777202072538,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,pca
1,RF,micro recall,0.4684854186265287,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,pca
2,RF,macro precision,0.2824401320481872,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,pca
3,RF,macro recall,0.2408522910661659,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,pca
4,MLP,micro precision,0.6342015855039638,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,pca
5,MLP,micro recall,0.5268109125117592,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,pca
6,MLP,macro precision,0.5047109023950127,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,pca
7,MLP,macro recall,0.3647662795641584,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,pca
8,logistic,micro precision,0.6738882554161916,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,pca
9,logistic,micro recall,0.5559736594543744,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,pca
10,logistic,macro precision,0.5456692511721801,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,pca
11,logistic,macro recall,0.3698729405277129,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,True,pca
0,RF,micro precision,0.6711051930758988,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,mean
1,RF,micro recall,0.4741298212605832,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,mean
2,RF,macro precision,0.364996761057007,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,mean
3,RF,macro recall,0.2444976148630656,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,mean
4,MLP,micro precision,0.6549145299145299,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,mean
5,MLP,micro recall,0.5766698024459078,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,mean
6,MLP,macro precision,0.5476868239723061,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,mean
7,MLP,macro recall,0.4170026151458912,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,mean
8,logistic,micro precision,0.6991473812423873,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,mean
9,logistic,micro recall,0.5399811853245532,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,mean
10,logistic,macro precision,0.4867130810424714,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,mean
11,logistic,macro recall,0.2992037262900283,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,mean
0,RF,micro precision,0.6675257731958762,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,pca
1,RF,micro recall,0.4873000940733772,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,pca
2,RF,macro precision,0.3886755168281717,semantic,ClinicalBERT_Discharge_Summary_BERT,finetuned,mean,False,pca
